Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02,197.28,200.33,196.57,200.31,1,0,0
1990-01-03,200.33,200.87,199.68,200.11,1,0,0
1990-01-04,200.11,200.11,197.3,198.85,1,0,0
1990-01-05,198.56,198.56,196.5,196.86,1,0,0
1990-01-08,196.9,197.65,196.12,197.54,1,0,0
1990-01-09,197.5,197.66,195.5,195.5,1,0,0
1990-01-10,195.5,195.51,192.78,194.03,1,0,0
1990-01-11,194.03,195.32,194.03,194.5,1,0,0
1990-01-12,194.5,194.5,189.78,189.95,1,0,0
1990-01-15,189.95,189.95,188.04,188.24,1,0,0
1990-01-16,188.24,190.06,186.33,190.06,1,0,0
1990-01-17,190.05,190.85,188.16,188.56,1,0,0
1990-01-18,188.56,188.73,186.87,188.71,1,0,0
1990-01-19,188.71,189.88,188.71,189.35,1,0,0
1990-01-22,189.35,189.66,184.86,184.89,1,0,0
1990-01-23,184.9,185.82,183.81,185.12,1,0,0
1990-01-24,185.12,185.12,181.04,184.1,1,0,0
1990-01-25,184.1,185.08,181.97,182.19,1,0,0
1990-01-26,182.2,183.22,179.71,181.63,1,0,0
1990-01-29,181.64,182.33,179.55,181.02,1,0,0
1990-01-30,181.02,181.16,178.15,179.42,1,0,0
1990-01-31,179.42,182.51,179.42,182.51,1,0,0
1990-02-01,182.51,182.93,181.97,182.61,1,0,0
1990-02-02,182.61,184.55,182.3,184.01,1,0,0
1990-02-05,184.01,184.71,183.85,184.6,1,0,0
1990-02-06,184.24,184.25,182.87,183.58,1,0,0
1990-02-07,183.58,185.57,182.16,185.57,1,0,0
1990-02-08,185.57,186.87,184.95,185.38,1,0,0
1990-02-09,185.38,186.23,185.22,185.81,1,0,0
1990-02-12,185.81,185.81,184.06,184.07,1,0,0
1990-02-13,184.07,184.58,182.98,184.35,1,0,0
1990-02-14,184.35,185.4,184.18,184.8,1,0,0
1990-02-15,184.8,186.41,184.67,186.33,1,0,0
1990-02-16,186.33,186.72,185.28,185.37,1,0,0
1990-02-20,185.37,185.37,182.07,182.9,1,0,0
1990-02-21,182.89,182.89,181.03,182.53,1,0,0
1990-02-22,182.53,184.22,181.84,181.84,1,0,0
1990-02-23,181.84,181.84,179.98,180.9,1,0,0
1990-02-26,180.9,182.85,180.88,182.85,1,0,0
1990-02-27,182.85,184.53,182.83,183.82,1,0,0
1990-02-28,183.82,185.41,183.77,184.84,1,0,0
1990-03-01,184.85,186.06,184.46,185.34,1,0,0
1990-03-02,185.34,186.95,185.34,186.95,1,0,0
1990-03-05,186.95,187.33,186.0,186.14,1,0,0
1990-03-06,186.15,188.11,186.02,188.1,1,0,0
1990-03-07,188.1,188.61,187.46,187.75,1,0,0
