,Date,State
0,2007-01-04,1
1,2007-01-05,1
2,2007-01-08,1
3,2007-01-09,1
4,2007-01-10,1
5,2007-01-11,1
6,2007-01-12,1
7,2007-01-16,1
8,2007-01-17,1
9,2007-01-18,1
10,2007-01-19,1
11,2007-01-22,1
12,2007-01-23,1
13,2007-01-24,1
14,2007-01-25,1
15,2007-01-26,1
16,2007-01-29,1
17,2007-01-30,1
18,2007-01-31,1
19,2007-02-01,1
20,2007-02-02,1
21,2007-02-05,1
22,2007-02-06,1
23,2007-02-07,1
24,2007-02-08,1
25,2007-02-09,1
26,2007-02-12,1
27,2007-02-13,1
28,2007-02-14,1
29,2007-02-15,1
30,2007-02-16,1
31,2007-02-20,1
32,2007-02-21,1
33,2007-02-22,1
34,2007-02-23,1
35,2007-02-26,1
36,2007-02-27,0
37,2007-02-28,1
38,2007-03-01,1
39,2007-03-02,1
40,2007-03-05,1
41,2007-03-06,1
42,2007-03-07,1
43,2007-03-08,1
44,2007-03-09,1
45,2007-03-12,1
46,2007-03-13,1
47,2007-03-14,1
48,2007-03-15,1
49,2007-03-16,1
50,2007-03-19,1
51,2007-03-20,1
52,2007-03-21,1
53,2007-03-22,1
54,2007-03-23,1
55,2007-03-26,1
56,2007-03-27,1
57,2007-03-28,1
58,2007-03-29,1
59,2007-03-30,1
60,2007-04-02,1
61,2007-04-03,1
62,2007-04-04,1
63,2007-04-05,1
64,2007-04-09,1
65,2007-04-10,1
66,2007-04-11,1
67,2007-04-12,1
68,2007-04-13,1
69,2007-04-16,1
70,2007-04-17,1
71,2007-04-18,1
72,2007-04-19,1
73,2007-04-20,1
74,2007-04-23,1
75,2007-04-24,1
76,2007-04-25,1
77,2007-04-26,1
78,2007-04-27,1
79,2007-04-30,1
80,2007-05-01,1
81,2007-05-02,1
82,2007-05-03,1
83,2007-05-04,1
84,2007-05-07,1
85,2007-05-08,1
86,2007-05-09,1
87,2007-05-10,1
88,2007-05-11,1
89,2007-05-14,1
90,2007-05-15,1
91,2007-05-16,1
92,2007-05-17,1
93,2007-05-18,1
94,2007-05-21,1
95,2007-05-22,1
96,2007-05-23,1
97,2007-05-24,1
98,2007-05-25,1
99,2007-05-29,1
100,2007-05-30,1
101,2007-05-31,1
102,2007-06-01,1
103,2007-06-04,1
104,2007-06-05,1
105,2007-06-06,1
106,2007-06-07,1
107,2007-06-08,1
108,2007-06-11,1
109,2007-06-12,1
110,2007-06-13,1
111,2007-06-14,1
112,2007-06-15,1
113,2007-06-18,1
114,2007-06-19,1
115,2007-06-20,1
116,2007-06-21,1
117,2007-06-22,1
118,2007-06-25,1
119,2007-06-26,1
120,2007-06-27,1
121,2007-06-28,1
122,2007-06-29,1
123,2007-07-02,1
124,2007-07-03,1
125,2007-07-05,1
126,2007-07-06,1
127,2007-07-09,1
128,2007-07-10,1
129,2007-07-11,1
130,2007-07-12,1
131,2007-07-13,1
132,2007-07-16,1
133,2007-07-17,1
134,2007-07-18,1
135,2007-07-19,1
136,2007-07-20,1
137,2007-07-23,1
138,2007-07-24,0
139,2007-07-25,0
140,2007-07-26,0
141,2007-07-27,0
142,2007-07-30,0
143,2007-07-31,0
144,2007-08-01,0
145,2007-08-02,0
146,2007-08-03,0
147,2007-08-06,0
148,2007-08-07,0
149,2007-08-08,0
150,2007-08-09,0
151,2007-08-10,0
152,2007-08-13,0
153,2007-08-14,0
154,2007-08-15,0
155,2007-08-16,0
156,2007-08-17,0
157,2007-08-20,0
158,2007-08-21,0
159,2007-08-22,0
160,2007-08-23,0
161,2007-08-24,0
162,2007-08-27,0
163,2007-08-28,0
164,2007-08-29,0
165,2007-08-30,1
166,2007-08-31,1
167,2007-09-04,1
168,2007-09-05,1
169,2007-09-06,1
170,2007-09-07,1
171,2007-09-10,1
172,2007-09-11,1
173,2007-09-12,1
174,2007-09-13,1
175,2007-09-14,1
176,2007-09-17,1
177,2007-09-18,1
178,2007-09-19,1
179,2007-09-20,1
180,2007-09-21,1
181,2007-09-24,1
182,2007-09-25,1
183,2007-09-26,1
184,2007-09-27,1
185,2007-09-28,1
186,2007-10-01,1
187,2007-10-02,1
188,2007-10-03,1
189,2007-10-04,1
190,2007-10-05,1
191,2007-10-08,1
192,2007-10-09,1
193,2007-10-10,1
194,2007-10-11,1
195,2007-10-12,1
196,2007-10-15,1
197,2007-10-16,1
198,2007-10-17,1
199,2007-10-18,1
200,2007-10-19,1
201,2007-10-22,1
202,2007-10-23,1
203,2007-10-24,1
204,2007-10-25,1
205,2007-10-26,1
206,2007-10-29,1
207,2007-10-30,1
208,2007-10-31,1
209,2007-11-01,0
210,2007-11-02,0
211,2007-11-05,0
212,2007-11-06,0
213,2007-11-07,0
214,2007-11-08,0
215,2007-11-09,0
216,2007-11-12,0
217,2007-11-13,0
218,2007-11-14,0
219,2007-11-15,0
220,2007-11-16,0
221,2007-11-19,0
222,2007-11-20,0
223,2007-11-21,0
224,2007-11-23,0
225,2007-11-26,0
226,2007-11-27,0
227,2007-11-28,0
228,2007-11-29,0
229,2007-11-30,0
230,2007-12-03,0
231,2007-12-04,0
232,2007-12-05,0
233,2007-12-06,0
234,2007-12-07,0
235,2007-12-10,0
236,2007-12-11,0
237,2007-12-12,0
238,2007-12-13,0
239,2007-12-14,0
240,2007-12-17,0
241,2007-12-18,0
242,2007-12-19,0
243,2007-12-20,0
244,2007-12-21,0
245,2007-12-24,0
246,2007-12-26,0
247,2007-12-27,0
248,2007-12-28,0
249,2007-12-31,0
250,2008-01-02,0
251,2008-01-03,0
252,2008-01-04,0
253,2008-01-07,0
254,2008-01-08,0
255,2008-01-09,0
256,2008-01-10,0
257,2008-01-11,0
258,2008-01-14,0
259,2008-01-15,0
260,2008-01-16,0
261,2008-01-17,0
262,2008-01-18,0
263,2008-01-22,0
264,2008-01-23,0
265,2008-01-24,0
266,2008-01-25,0
267,2008-01-28,0
268,2008-01-29,0
269,2008-01-30,0
270,2008-01-31,0
271,2008-02-01,0
272,2008-02-04,0
273,2008-02-05,0
274,2008-02-06,1
275,2008-02-07,1
276,2008-02-08,1
277,2008-02-11,1
278,2008-02-12,1
279,2008-02-13,1
280,2008-02-14,1
281,2008-02-15,1
282,2008-02-19,1
283,2008-02-20,1
284,2008-02-21,1
285,2008-02-22,1
286,2008-02-25,1
287,2008-02-26,1
288,2008-02-27,1
289,2008-02-28,1
290,2008-02-29,0
291,2008-03-03,0
292,2008-03-04,0
293,2008-03-05,0
294,2008-03-06,0
295,2008-03-07,0
296,2008-03-10,0
297,2008-03-11,0
298,2008-03-12,0
299,2008-03-13,0
300,2008-03-14,0
301,2008-03-17,0
302,2008-03-18,0
303,2008-03-19,0
304,2008-03-20,0
305,2008-03-24,0
306,2008-03-25,0
307,2008-03-26,0
308,2008-03-27,0
309,2008-03-28,0
310,2008-03-31,0
311,2008-04-01,0
312,2008-04-02,1
313,2008-04-03,1
314,2008-04-04,1
315,2008-04-07,1
316,2008-04-08,1
317,2008-04-09,1
318,2008-04-10,1
319,2008-04-11,1
320,2008-04-14,1
321,2008-04-15,1
322,2008-04-16,1
323,2008-04-17,1
324,2008-04-18,1
325,2008-04-21,1
326,2008-04-22,1
327,2008-04-23,1
328,2008-04-24,1
